"x"
"1"	2.67341704329738e-13
"2"	7.90478793533111e-14
"3"	7.99360577730113e-14
"4"	2.34923192010683e-13
"5"	2.22932783344731e-13
"6"	1.31006316905768e-13
"7"	3.89022147828655e-13
"8"	9.37028232783632e-14
"9"	1.11022302462516e-13
"10"	7.54951656745106e-14
"11"	1.11910480882216e-13
"12"	2.8377300509419e-13
"13"	2.34923192010683e-13
"14"	7.94919685631612e-14
"15"	1.35003119794419e-13
"16"	7.99360577730113e-14
"17"	1.22124532708767e-13
"18"	4.04121180963557e-13
"19"	7.14983627858601e-14
"20"	2.19380069665931e-13
